NO.,Grammar,Category,Korean,English,Source
147,Grammer,Question,어느,어느  나라  Which country,1.3
148,Grammer,V - is/am/are,N이에요/예요?,"에밀리: 팅팅 씨, 이쪽은 민준 씨예요. 민준 씨, 이쪽은 팅팅 씨예요.
민준: 안녕하세요? 저는 민준이에요.
팅팅: 반가워요. 저는 팅팅이에요. 중국 사람이에요.
민준: 아, 그래요? 팅팅 씨는 학생이에요?
팅팅: 아니요, 저는 학생이 아니에요. 선생님이에요.",1.3
149,Grammer,V - is/am/are,저는 N이에요/예요,"유카: 안녕하세요?
케빈: 안녕하세요? 저는 케빈이에요. 이름이 뭐예요?
유카: 저는 유카예요. 반가워요, 케빈 씨. 어느 나라 사람이에요?
케빈: 저는 미국 사람이에요. 만나서 반가워요.",1.3
150,Grammer,V - is/am/are,저는 N이에요/예요,"안녕하세요? 저는 차나팁이에요.
저는 태국 사람이에요. 방콕에서 왔어요.
태권도 선수예요. 만나서 반가워요.",1.3
151,Grammer,V - is/am/are,N은/는,"1. 无收音时＋는 → 다쿠야 씨는
2. 有收音时＋은 → 선생님은
Eg. 여기는 이에요/예요. 
Eg. 이쪽은  케빈  씨예요.
Eg. 이분은  케빈  씨예요 (older)
Eg. 다쿠야  씨는  회사원이에요.",1.3
152,Grammer,City,에서,미국에서 왔어요,1.3
153,Grammer,V - is/am/are,N이/가 아니에요,"1. 无收音时＋ 가 아니에요 → 의사가  아니에요.
2. 有收音时＋이 아니에요 → 학생이  아니에요.
3. If 是, 可skip助詞 → noun 이에요/예요
4. N1 은／는 + N2 이／가 아니에요 = N1不是N2. 

A 팅팅 씨는 일본 사람이에요?
B 아니요, 저는 일본 사람이 아니에요.중국 사람이에요.

Eg. 아니요, 한국 사람이 아니에요.
Eg. 다쿠야 씨는  의사가  아니에요. 회사원  이에요",1.3
154,Grammer,Question,무슨,"무슨일을 해요? What do you do?
직업이  뭐예요?",1.3
155,Grammer,This/these/that,이거/그거/저거,"1. 이거/그거/저거는 뭐예요?
2. 当物体离说话者近、离听者远时，使用이거
3. 当物体离说话者远、离听者近时，使用ユ거
4. 当物体离听者与说话者都远时，使用저거
5. 注意이거／그거／저거不能指代人.
Eg. 책이에요.",1.4
156,Grammer,This/these/that,"N(의) N
my","E.g. A 이거는 팅팅 씨의 공책이에요?
         B 네, 제 공책이에요.
Eg. 이거는  누구  볼펜이에요?
1. Oral: 의 can skip. 누구의 볼펜이에요?＝누구 불펜이에요?
2. 저의 &나의中的“의”不可省略，缩写为“제”“내”。
3. 저+의→제
4. 나+의→내 my
Eg. 그거는 저의 휴대폰이에요 ＝ 그거는 제 휴대폰이에요.
Eg. 이거는 나의 책이에요. ＝ 이거는 내 책이에요.

“의”表示所有或所属时，常常可读作“에”。
Eg. 누구의 [에] 볼펜이에요？是谁的圆珠笔？
Eg. 팅팅 씨의 [에]볼펜이에요. 是婷婷的圆珠笔。",1.4
157,Grammer,Question,누구에요 ,누구에요 Who,1.4
158,Grammer,This/these/that,이거/그거/저거,"케빈: 유카 씨, 그거는 뭐예요? 优香，那是什么？
유카: 이거는 가방이에요. 这是包。
케빈:그거는 유카 씨의 가방이에요? 那是您的包吗？
유카: 아니요. 제 가방이 아니에요. 팅팅 씨 가방이에요. 不，不是我的包。是婷婷的包。",1.4
159,Grammer,This/these/that,이/그/저 N,"“이／그／저”用在名词前，指代特定的人或事物。“이”指代离说话者近、离听者远的人或物；“ユ”指代离说话者远、离听者近的人或物；“저”指代离说话者与听者都远的人或物。

Eg. A 저  사람은  누구예요?
        A 이  가방은  로렌  씨  가방이에요?
        B 호세  씨예요.
        B 네, 제 가방이에요.
Eg. A: 그  우산은  누구  우산이에요?
        B: 그래요? 그  친구는  학생이에요?
         이  사전은  한국어  사전이에요.

“ユ”既可用于实指，也可用于虚指，即可以指代前面已提到的事物或人，或者想象中的事物或人，而“이／저”只能用于实指，即指代实实在在看到的事物或人。

A：저는 한국 친구가 있어요.我有韩国朋友。
B: 그래요? 그 친구는 학생이에요?
哦，那个朋友是学生吗？",1.4
160,Grammer,V - Has/have,N이/가 있어요/없어요,"1. 无收音时 ＋ 가 있어요／없어요 → 휴지가 있어요.
2. 有收音时 ＋ 이 있어요／없어요 → 사전이 있어요.
3. 이／가在口语中可省眳。
Eg. 휴지가 있어요？ ＝ 휴지 있어요?

A 올리버 씨, 휴지가 있어요? 奥利弗，您有纸巾吗？
B 네, 있어요. 嗯，我有。

A 올리버 씨, 한국어 사전이 있어요? 奥利弗，您有韩国语字典吗？
B 아니요, 없어요. 不，我没有。",1.4
161,Grammer,V - Has/have,N이/가 있어요/없어요,"로렌: 다쿠야 씨, 이 사람은 누구예요? 卓也，这个人是谁？
다쿠야: 지우 씨예요. 제 한국 친구예요. 是智雨，她是我的韩国朋友。
로렌: 아, 한국 친구가 있어요? 哦，卓也，您有韩国朋友？
다쿠야: 네, 많이 [마니] 있어요.  嗯，我有很多韩国朋友。
로렌: 이 차는 다쿠야 씨의 차예요? 卓也，这辆车是您的吗？
다쿠야: 아니요, 지우 씨 차예요. 저는 차가 없어요. 不，是智雨的车，我没有汽车。",1.4
162,Grammer,V - Has/have,N이/가 있어요/없어요,"이 사람은 올리버 씨예요. 올리버 씨는 영국 사람이에요.
이거는 올리버 씨의 열쇠예요.
이 열쇠는 집 열쇠가 아니에요. 차 열쇠예요.
이거는 올리버 씨의 지갑이에요. 올리버 씨는 명함이있어요. 올리버 씨의 직업은 변호사예요.
이거는 '해피' 사진이에요. '해피'는 올리버 씨의 개예요.",1.4
163,Noun,Food,메뉴,菜单 menu,1.5
164,Noun,Food,주스,果汁 juice,1.5
165,Grammer,Food,주문하기,点餐  Place your order,1.5
166,Noun,Food,오렌지 주스,橙汁 orange juice,1.5
167,Noun,Food,아이스커피,冰咖啡 Iced Coffee,1.5
168,Noun,Food,아메리카노,美式咖啡 Americano,1.5
169,Noun,Food,홍차,红茶 black tea,1.5
170,Noun,Food,케이크,蛋糕 cake,1.5
171,Noun,Food,녹차,绿茶 green tea,1.5
172,Noun,Food,토마토 주스,番茄汁 Tomato juice,1.5
173,Noun,Food,카페 라테,拿铁咖啡 Cafe Latte,1.5
174,Noun,Food,쿠키,曲奇饼干 cookie,1.5
175,Noun,Food,유자차,柚子茶 Yuzu tea,1.5
176,Noun,Food,포도 주스,葡萄汁 Grape juice,1.5
177,Noun,Food,샌드위치,三明治 sandwich,1.5
178,Noun,Food,사과 주스,苹果汁 apple juice,1.5
179,Noun,Food,샐러드,沙拉 salad,1.5
180,Grammer,Restaurant,V-(으)세요 ,"接在动词词干后面，表示恭敬地要求或郑重地命令对方做某事。


→주세요＝我想要
물＋ 주세요 不需加助詞(를/을)

'- 词干末音节无收音时＋-세요
eg. 주다 +-세요→ 주세요

- 词干末音节有收音时＋-으세요
eg. 앉다 +-으세요 → 앉으세요
여기 앉으세요. 请坐这边。",1.5
181,Verb,Restaurant,주다-給 Give,"＂N 주세요”一般用于向对方索要某物。
Eg.  커피 주세요. 请给我咖啡。
Eg. 샐러드 주세요. 请给我沙拉。",1.5
182,Verb,Restaurant,기다리다 Wait,"A 커피 주세요.   请给我咖啡。
B 네, 잠깐만 기다리세요.  好的，请稍等 wait",1.5
183,Adverb,Restaurant,잠깐만 ,稍等 just a second,1.5
184,Verb,Home,보다,보세요 to see,1.5
185,Verb,Work,쓰다,쓰세요. to write,1.5
186,Verb,Work,읽다, read,1.5
187,Verb,Home,쉬다,쉬세요 rest,1.5
188,Verb,Work,앉다,앉으세요 sit,1.5
189,Verb,Food,드리다 ,提供 Provide,
190,Verb,Restaurant,뭐 드릴까요?,"A 뭐 드릴까요?   请问您需要点什么？  드리다 提供  （을까요提供意見用）
B 아메리카노▪둘▪주세요. 请给我2杯美式咖啡。
(如用長寫→可skip量詞)
A 네, 잠깐만 기다리세요.

샌드위치 둘 주세요． 请给我2个三明治。

볼펜이 하나 있어요． 有1支圆珠笔。
要助詞：있어요.（있다）",1.5
191,Noun,Number,Number,"＂하나， 둘， 셋， 넷， ·····.” 一般用于人或物的计数，该类数词应放在名词后使用，例如＂빵 하나”＂빵 둘”。
O빵둘   x둘빵",1.5
192,Noun,Number,하나,一 one,1.5
193,Noun,Number,둘,二 two,1.5
194,Noun,Number,셋,三 three,1.5
195,Noun,Number,넷,四 four,1.5
196,Noun,Number,다섯,五 five,1.5
197,Noun,Number,여섯,六 six,1.5
198,Noun,Number,일곱,七 seven,1.5
199,Noun,Number,여덟,八 eight,1.5
200,Noun,Number,아홉,九 nine,1.5
201,Noun,Number,열,十 ten,1.5
202,Verb,V - Order,V-(으)세요 ,"직원: 어서(快D) 오세요.     오다=come
팅팅: 포도 주스 있어요?   口詞可省略이/가
직원: 아니요, 없어요.
팅팅: 그럼 오렌지 주스 하나 주세요.  那樣 请给我1杯橙汁。
직원: 네, 잠깐만 기다리세요.  好的，请稍等。",1.5
203,Adverb,S - Connection,그럼 ,那樣 咁 sure thing,1.5
204,Noun,Food,음식,飲食 food,1.5
205,Noun,Food,음료,饮料 beverage,1.5
206,Noun,Food,술,酒 drink,1.5
207,Noun,Food,콜라 ,可乐 cola,1.5
208,Noun,Food,소다,梳打  soda,1.5
209,Noun,Food,사이다, 汽水 透明個D汽水 cider,1.5
210,Noun,Food,소맥 ,燒啤 Mix of soju and beer,1.5
211,Noun,Food,맥주,啤酒 beer,1.5
212,Noun,Food,소주 ,烧酒 soju,1.5
213,Grammer,Restaurant,이거는 뭐예요?,"이거는 뭐예요?
김밥이에요.  紫菜包饭    김紫菜",1.5
214,Noun,Food,불고기,烤肉   고기醃之肉   불火 Bulgogi,1.5
215,Noun,Food,김치 ,泡菜 kimchi,1.5
216,Noun,Food,밥, 米饭 rice,1.5
217,Noun,Food,비빔밥,拌饭    비빔撈飯 bibimbap,1.5
218,Noun,Food,떡볶이,炒年糕   떡=糕 tteokbokki,1.5
219,Noun,Food,라면,泡面，方便面 Ramen,1.5
220,Noun,Food,냉면,冷面  Noodle,1.5
221,Noun,Food,물냉면,水冷面 Water-cold noodles,1.5
222,Noun,Food,바빔 냉면,撈冷面 Babim cold noodles,1.5
223,Noun,Food,스파게티,意大利面 spaghetti,1.5
224,Noun,Food,피자,比萨 pizza,1.5
225,Noun,Food,햄버거,汉堡  hamburger,1.5
226,Grammer,Unit,몇 N,"몇  Noun (数量） 几，多少

在问数量时，诸如“개（个）、병（瓶）、잔（杯）、ユ릇（碗）”之类的单位名词应接在“몇”后面使用，例如，“몇 개， 몇 잔， 몇 병”。

例 有几个苹果？
O 사과 몇 개 있어요
x 사과 몇 있어요?",1.5
227,Grammer,Unit,N 개/병/잔/그릇,"“개 (个）、병（瓶）、잔（杯）、그（碗）”
一般用于事物的计数，使用顺序为：名词＋数冠形词＋ ＂개／병／잔／그릇”等单位名词。
当数冠形词“하나，둘，셋，넷”用在名词或单位名词前面时会发生变形，分别变为＂한，두， 세， 네”。

Eg. 빵 한 개 주세요. 请给我1个面包。
Eg. 사이다가 두 병 있어요. 

A： 뭐 드릴까요？ 请问您需要点什么？
B： 홍차 세 잔 주세요． 请给我3杯红茶。

A： 비빔밥 몇 그릇 드릴까요？ 请问您要几份拌饭？
B： 비빔밥 네 그릇 주세요． 请给我4份拌饭。
不用加이/가 因為주세요",1.5
228,Grammer,Unit,개,"개 只形容死物, 所有物件可使用개
但人和動物不可用개",1.5
229,Grammer,Number,하나개→한 개,1个 One→one,1.5
230,Grammer,Number,둘개두개,2个 Two Pieces,1.5
231,Grammer,Number,셋개→세개,3个 Three→Three,1.5
232,Grammer,Number,넷개→네개,4个 Four→Four,1.5
233,Grammer,Number,다섯 개,5个 Five pcs,1.5
234,Grammer,Number,여섯 개,6个 Six,1.5
235,Grammer,Number,일곱 개,7个 Seven Piece/Pieces,1.5
236,Grammer,Number,여덟 개,8个 Eight,1.5
237,Grammer,Number,아홉 개,9个 Nine Piece/Pieces,1.5
238,Grammer,Number,열개,10个 Tenth,1.5
239,Grammer,Restaurant,N하고 N,"不可用於Verb

“하고”用于连接两个或两个以上的名词，不能连接句子，表示“·····和·····。

A 뭐 드릴까요? 请问您需要点什么？
B 햄버거▪한▪개하고▪몰라▪한▪잔▪주세요.   请给我1个汉堡和1杯可乐 (不用助詞 因為주세요)

샌드위치하고▪주스▪주세요.
냉면▪한▪그릇하고▪비빔밥▪한그▪릇▪주세요.
불고기▪일인분하고▪소주▪두▪병▪주세요.
샌드위치▪한▪개하고▪주스▪한▪잔▪주세요.

A： 뭐 드릴까요？ 请问您需要点什么？
B： 냉면▪둘하고▪맥주▪한▪병▪주세요． 给我2份冷面和1瓶啤酒。 (둘因為沒有量詞)

지우개하고 연필이 있어요. 有橡皮和铅笔。
밥하고 김치 좀(少少) 주세요.请给我米饭和泡菜。",1.5
240,Grammer,Restaurant,Unit,"치킨▪한▪마리 (只，头，条)  for动物only.
불고기▪일▪인분（几）人份",1.5
241,Grammer,Restaurant,하고 / 와／과,"尽管＂와／과”和＂하고”都用于连接名词，但“와／과”主要用于书面语。

名词末音节无收音时＋와 
Eg. 지우개+ 와 → 지우개와

名词末音节有收音时＋과
Eg. 밥+과→밥과

Eg. 지우개와 연필 橡皮和铅笔
Eg. 밥과 김치 米饭和泡菜",1.5
242,Grammer,Restaurant,하고 / 와／과,"직원: 어서 오세요. 여기 앉으세요.
양양: 메뉴 좀 주세요.   좀 少少→形容주세요＝帮下我
직원: 여기 있어요. 뭐 드릴까요?
양양: 비빔밥 두 그릇하고 콜라 한 병 주세요.
반찬 좀 주세요. 请给我一些小菜。
물 좀 주세요 请给我点水。
직원: 네, 잠깐만 기다리세요.

양양: 여기요. 開場白 반찬 좀 더 주세요.
직원: 네, 여기 있어요.

服务员：欢迎光临，请坐这边。
杨洋：请给我看一下菜单。
服务员：给您。请问您需要点什么？
杨洋：请给我2份拌饭和1瓶可乐。
服务员：好的，请稍等。
杨洋：服务员！请再给一些小菜。
服务员：好的，给您",1.5
243,Adverb,Restaurant,좀,"少少→形容주세요＝帮下我
좀一下，一点（表示委婉、恭敬的语气） 
在向对方请求服务时，如果使用“否”，语气会显得
更加委婉、恭敬。",1.5
244,Noun,Food,반찬,拌菜  side dish,1.5
245,Noun,Food,소스,酱汁，佐料 sauce,1.5
246,Grammer,Restaurant,저기요 / 여기요,"“여기요”一般用于在餐厅呼叫服务员。
여기요 离我遠D
저기요 近我D",1.5
247,Adverb,Restaurant,더,更 再 more,1.5
248,Noun,Food,와인 ,红酒 Red wine,1.5
249,Noun,Food,주문서 ,点菜单 Menu Order,1.5
250,Noun,Food,수량,数量 Quantity,1.5
251,Noun,Occupation,일하다 ,일합니다  工作 Work,1.6
252,Verb,Hobby,자다,잡니다  睡觉 Sleep,1.6
253,Adverb,Feelings,좋다 ,"Like 좋아요

(x) 비빔밥을 좋아요. 
(O) 비빔밥이 좋아요. 喜欢拌饭。",1.6
254,Verb,Hobby,좋아하다 ,좋아합니다  喜欢 Like like,1.6
255,Verb,Dress,사다 ,삽니다  买 Buy buy,1.6
256,Verb,Home,전화하다 ,전화합니다  打电话 Phone ,1.6
257,Verb,Work,읽다 ,읽습니다  读 Read ,1.6
258,Verb,School,가르치다 ,가르칩니다  教 Teach,1.6
259,Verb,School,보다 ,봅니다  看 see,1.6
260,Verb,Hobby,운동하다 ,운동합니다  运动 Exercise       音: 玩Dont,1.6
261,Verb,Restaurant,먹다 ,먹습니다  吃 Eat ,1.6
262,Verb,Restaurant,마시다 ,마십니다  喝 Drink,1.6
263,Verb,School,공부하다 ,공부합니다  学习 Revise Study,1.6
264,Verb,School,배우다 ,배웁니다  学习 Learn ,1.6
265,Verb,People,만나다 ,만납니다  见面 Meet see,1.6
266,Verb,Hobby,노래하다,노래합니다  Sing         노래 Song sing,1.6
267,Verb,Home,이야기하다 ,이야기합니다  聊天  이야기句子 / 説話／故事 Story telling,1.6
268,Verb,V - Present Tense,V-아요/어요/여요,"非格式體
A 지금 뭐 해요? 您现在在做什么？
B 공부해요. 我在学习。

词干末音节含阳性元音“ト，”时＋-아요
만나다 +-아요 → 만나요
오다+-아요→와요

词干末音节以“하다”结尾时＋-여요→해요
공부하다 → 공부해요

其他情况时＋-어요
먹다 +-어요 → 먹어요
마시다 +-어요 → 마셔요

Eg. 투이 씨는 친구를 만나요. 阿翠正在见朋友。
Eg. 케빈 씨는 지금 공부해요. 凯文现在正在学习。

A： 유카 씨， 지금 뭐 해요？ 优香，您现在在做什么？
B： 커피를 마셔요. 我正在喝咖啡。",1.6
269,Noun,Time,지금,现在  now,1.6
270,Verb,V - Present Tense,N을/를,"뭐 (를)해요   可省略를 if 하다   
-> 뭐  해요?

A 오늘 뭐 해요? 您今天做什么？
B 영화를 봐요. 我看电影。

“을／를”放在名词后面，起到将名词转变为动词宾语的作用，口语中可省略。

体词末音节无收音时＋를
맥주 + 를 → 맥주를

体词末音节有收音时＋을
김밥+ 을→ 김밥을

A：지금 뭐 해요？ 您现在在做什么？
B： 한국어를 공부해요. 我在学习韩国语。

A： 양양 씨， 뭐를 먹어요？ 杨洋，您在吃什么？
B： 김밥을 먹어요， 我在吃紫菜包饭",1.6
271,Grammer,Question,뭘 / 누굴,"在口语中“뭐를”“누구를”可缩略成＂뭘＂＂누굴＂。
뭐를 → 뭘
누구를 → 누굴

例 A：뭘 좋아해요？ 您喜欢什么？
A： 누굴 만나요？ 您要见谁？
B： 책을 좋아해요. 我喜欢书。
B： 케빈 씨를 만나요. 我要见凯文。",1.6
272,Noun,Time,오늘 ,今天 Today today,1.6
273,Noun,Furniture,텔레비전,电视  television,1.6
274,Noun,City,영어,英语 English,1.6
275,Noun,Hobby,영화 ,电影 movie,1.6
276,Noun,Home,드라마 ,电视剧 drama,1.6
277,Adverb,Home,N하고 (같이),"该句型表示“和某人做某事”，“같이”可省略。
친구하고（같이） 이야기해요. 和朋友（一起）聊天。

A： 누구하고 영화를 봐요？和谁一起看电影？
B: 올리버 씨하고 (같이) 봐요. 和奥利弗（一起）看电影。",1.6
278,Verb,V - Present Tense,V-아요/어요/여요,"투이: 케빈 씨, 지금 뭐 해요?
케빈: 운동해요, 투이 씨는 지금 뭐 해요?
투이: 친구를 만나요.
케빈: 친구하고 뭐 해요?
투이: 같이 김밥을 먹어요.    *같이 [가치] →E +0 = 치
친구하고 저는 김밥을 좋아해요.

阿翠：凯文，您现在在做什么？
凯文：我在运动。阿翠，您现在在做什么？
阿翠：我在见朋友。
凯文：和朋友在做什么呢？
阿翠：我们正在一起吃紫菜包饭，朋友和我都很喜欢紫菜包饭。",1.6
279,Verb,Home,쉬다,Rest,1.6
280,Noun,Hobby,쇼핑하다,쇼핑 购物 Shopping Shop / Make,1.6
281,Noun,Home,요리하다,做饭 Cook cook,1.6
282,Adverb,Number,같이 ,一起    together,1.6
283,Grammer,Question,어디에 가요?,您去哪儿？ Where are you going?,1.6
284,Noun,Here/there,여기,"여기는 백화점이에요.
저기는 어디예요?
저기는 극장이에요.
여기는 어디예요?",1.6
285,Noun,Location,여기,这里 here,1.6
286,Noun,Location,저기,那里 over there,1.6
287,Noun,Location,거기 ,那里 there,1.6
288,Noun,Location,어디 ,哪里 where is,1.6
289,Noun,Location,공원 ,公园 park,1.6
290,Noun,Location,식당 ,餐厅，食堂 dining room,1.6
291,Noun,Location,커피숍 ,咖啡店 coffee shop,1.6
292,Noun,Location,학교, 学校 school,1.6
293,Noun,Location,시장 ,市场   音Sit market,1.6
294,Noun,Location,회사,公司 company,1.6
295,Noun,Location,백화점 ,百货商店    音Pae Kwa department store,1.6
296,Noun,Location,대사관 ,大使馆 embassy,1.6
297,Noun,Location,병원 ,医院   konan不分診所／医院 hospital,1.6
298,Noun,Location,도서관 ,图书馆 library,1.6
299,Noun,Home,화장실 ,洗手间 toilet,1.6
300,Noun,Location,공항 ,机场  穿港 airport,1.6
301,Noun,Location,서점 ,书店 bookstore,1.6
302,Noun,Location,은행 ,银行 bank,1.6
303,Noun,Home,집 ,家，房子 house,1.6
304,Noun,Location,극장,剧院    戲院／舞台別の地方 theater,1.6
305,Grammer,Direction,N에 가다/오다,"人不在目的地，而正在去／来 오다 

Eg. 공항에 가요
Eg. 공원에 가요

该句型表示向某一地点移动，“N”表示地点名词。
当表示说话者从现在所在地向其他地点移动时使用“가다”，
当表示从其他地点往说话者所在地点移动时使用“오다”。

Eg. 제 친구는 오늘 한국에 와요.
Eg. 지우 씨는 어디에 가요?
커피숍에 가요.
Eg. 저는 지금 학교에 가요.",1.6
